frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,head_pitch_joint,head_yaw_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_elbow_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_elbow_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,waist_pitch_joint,waist_roll_joint,waist_yaw_joint,right_ankle_roll_joint,right_ankle_pitch_joint,right_knee_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,left_ankle_roll_joint,left_ankle_pitch_joint,left_knee_joint,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint
25,0.610171,0.053563,0.867357,-0.004884,0.00066,-0.000418,0.999988,-0.115084,-0.052806,0,0,0,-1.002851,0.035999,-0.295987,0.346643,0,0,0,-0.631666,-0.283499,0.231284,0.308459,0.053786,-0.002472,0.058821,0.04144,-0.194847,0.861613,-0.111665,-0.04334,0.238848,0.072574,-0.254892,0.617514,-0.13796,-0.088102,-0.388438
26,0.632197,0.054486,0.872566,-0.003105,-0.001026,0.002719,0.999991,-0.120205,-0.024286,0,0,0,-0.96721,0.048445,-0.300145,0.356873,0,0,0,-0.571437,-0.261393,0.21002,0.238369,0.062114,-0.002445,0.025708,0.048242,-0.2554,0.934558,-0.087413,-0.057939,0.170481,0.073462,-0.260227,0.579309,-0.124904,-0.088082,-0.337639
27,0.653671,0.054679,0.878997,-0.001323,-0.002533,0.005962,0.999978,-0.124926,0.004785,0,0,0,-0.925142,0.0529,-0.301923,0.365837,0,0,0,-0.508049,-0.244645,0.188965,0.167088,0.069694,-0.004329,-0.008597,0.048821,-0.292639,0.980759,-0.060243,-0.062211,0.101151,0.073212,-0.25411,0.521978,-0.109982,-0.086632,-0.279245
28,0.674833,0.054214,0.885944,0.000505,-0.00386,0.00929,0.999949,-0.128212,0.03196,0,0,0,-0.875659,0.050493,-0.300178,0.375346,0,0,0,-0.446077,-0.233556,0.169448,0.096799,0.075364,-0.008588,-0.04177,0.044397,-0.315157,1.01103,-0.032277,-0.059119,0.030312,0.072732,-0.230282,0.503847,-0.103134,-0.087788,-0.243772
29,0.696102,0.053063,0.892614,0.002372,-0.005009,0.012693,0.999904,-0.129392,0.056561,0,0,0,-0.822747,0.044373,-0.295003,0.386594,0,0,0,-0.383591,-0.228154,0.152221,0.027511,0.078386,-0.013839,-0.07277,0.037809,-0.328435,1.032926,-0.004808,-0.053122,-0.042933,0.07142,-0.202361,0.499612,-0.100056,-0.089309,-0.216596
30,0.71789,0.051321,0.898691,0.004198,-0.00598,0.01617,0.999843,-0.128556,0.079057,0,0,0,-0.771042,0.037051,-0.287945,0.399906,0,0,0,-0.314278,-0.228737,0.136577,-0.042467,0.078922,-0.018497,-0.101712,0.031145,-0.334074,1.048529,0.022664,-0.046756,-0.11839,0.069206,-0.174798,0.499888,-0.09797,-0.090147,-0.192038
31,0.740276,0.04932,0.904319,0.005898,-0.006776,0.019715,0.999765,-0.126613,0.100378,0,0,0,-0.722047,0.030542,-0.281227,0.414372,0,0,0,-0.22915,-0.234427,0.120464,-0.116254,0.07797,-0.021976,-0.129419,0.025713,-0.332406,1.05882,0.051084,-0.041002,-0.196339,0.066479,-0.146974,0.500912,-0.096336,-0.090345,-0.168045
32,0.763009,0.0474,0.909487,0.007453,-0.007403,0.023311,0.999673,-0.124664,0.121573,0,0,0,-0.676081,0.027324,-0.276446,0.429037,0,0,0,-0.097384,-0.243146,0.099913,-0.205573,0.076685,-0.024239,-0.156883,0.022961,-0.323938,1.065175,0.081467,-0.036762,-0.277476,0.063749,-0.118572,0.501706,-0.09555,-0.090405,-0.144345
33,0.78586,0.045661,0.913787,0.008719,-0.006669,0.026887,0.999578,-0.125915,0.14326,0,0,0,-0.626984,0.03015,-0.273801,0.44225,0,0,0,-0.004428,-0.253353,0.078613,-0.282361,0.075916,-0.025137,-0.18463,0.022823,-0.31007,1.069015,0.114522,-0.032794,-0.364132,0.061047,-0.092158,0.506529,-0.095844,-0.090183,-0.125686
34,0.808507,0.044,0.916689,0.009853,-0.005649,0.030353,0.999475,-0.128523,0.165332,0,0,0,-0.581053,0.039542,-0.272934,0.45516,0,0,0,-0.00402,-0.262157,0.064466,-0.32348,0.076052,-0.025073,-0.212305,0.024908,-0.291754,1.069934,0.149664,-0.028275,-0.452008,0.058471,-0.069977,0.519763,-0.098342,-0.090306,-0.112096
